service_id,service_name,service_system_status,service_category,service_priority,service_status_description,service_incident_number,service_status
1,Login/SSO,Green,AZ Web Application,1,Workflows and Automations are functioning normally,INC288292,Resolved
2,Uploads/Downloads,Green,AZ Web Application,2,The AZ Drive service is currently unavailable,INC638223,Resolved
3,Collaboration,Green,AZ Web Application,2,Workflows and Automations are functioning normally,INC298344,Resolved
4,Search,Red,AZ Web Application,1,Webhooks are functioning normally,INC239823,In progress
5,Preview,Green,AZ Web Application,3,The AZ Embed Widget is currently unavailable,INC127336,Resolved
6,Sharing (Shared Links),Green,AZ Web Application,3,The AZ Sign service is functioning normally,INC224539,Resolved
7,Email Notifications,Red,AZ Web Application,1,The AZ Canvas service is functioning normally,INC495929,In progress
8,Admin Console & Functionality,Green,AZ Web Application,2,Workflows and Automations are functioning normally,INC736428,Resolved
9,Governance (Retention),Green,AZ Web Application,3,The AZ Drive service is currently unavailable,INC927138,Resolved
10,Governance (Legal Holds),Green,AZ Web Application,1,System is experiencing issues with search functionality,INC728283,Resolved
11,Workflows and Automations,Green,AZ Web Application,1,Uploads and downloads are functioning normally,INC637383,Resolved
12,Comments and Tasks,Red,AZ Web Application,2,Webhooks are functioning normally,INC837373,In progress
13,Accessible Site (astrazeneca.com),Green,AZ Web Application,3,Users are experiencing issues with search functionality,INC127364,Resolved
14,AZ Sign,Green,AZ Web Application / API,1,Uploads and downloads are functioning normally,INC947474,Resolved
15,AZ Canvas,Green,AZ Web Application / API,3,Uploads and downloads are functioning normally,INC883848,Resolved
16,AZ Shield (Threat Detection),Green,AZ Web Application,1,Webhooks are functioning normally,INC393993,Resolved
17,AZ Shield (Virus Detection),Green,AZ Web Application,1,The AZ Embed Widget is currently unavailable,INC392982,Resolved
18,AZ Shield (Auto Classification),Yellow,AZ Web Application,1,The AZ Sign service is functioning normally,INC283823,In progress
19,Content API,Green,AZ Platform / API,2,The AZ Canvas service is functioning normally,INC727272,Resolved
20,Content Preview,Green,AZ Platform / API,1,Workflows and Automations are functioning normally,INC234983,Resolved
21,Authentication (OAuth 2.0 /,Yellow,AZ Platform / API,2,The AZ Drive service is currently unavailable,INC384389,In progress
22,Search,Inactive,AZ Platform / API,3,System is experiencing issues with search functionality,INC671294,In progress
23,Uploads/Downloads,Active,AZ Platform / API,1,Uploads and downloads are functioning normally,INC308291,Resolved
24,Webhooks,Active,AZ Platform / API,2,Webhooks are functioning normally,INC192878,Resolved
25,AZ Embed Widget,Inactive,AZ Platform / API,1,The AZ Embed Widget is currently unavailable,INC383833,In progress
26,AZ Sign,Active,AZ Platform / API,3,The AZ Sign service is functioning normally,INC848484,Resolved
27,AZ Canvas,Active,AZ Platform / API,1,The AZ Canvas service is functioning normally,INC338393,Resolved
28,Workflows and Automations,Active,AZ Platform / API,2,Workflows and Automations are functioning normally,INC993738,Resolved
29,Login/SSO,Active,AZ Desktop Applications,3,Login and SSO are functioning normally,INC728272,Resolved
30,AZ Sync,Active,AZ Desktop Applications,1,AZ Sync is functioning normally,INC111222,Resolved
31,AZ Drive,Inactive,AZ Desktop Applications,2,The AZ Drive service is currently unavailable,INC222333,In progress
32,Login/SSO,Disruption,Mobile Applications,1,Users are experiencing issues with login and SSO,INC288292,In progress
33,Preview,Active,Mobile Applications,3,Preview is functioning normally,INC838383,Resolved
34,Search,Disruption,Mobile Applications,2,Users are experiencing issues with search functionality,INC484848,In progress
35,Uploads/Downloads,Active,Mobile Applications,1,Uploads and downloads are functioning normally,INC888999,Resolved
